headline,snippet,web_url,lead_paragraph
"{u'main': u'Health and Oil in Canada', u'sub': u'(1 Letter)', u'print_headline': u'Health and Oil in Canada', u'content_kicker': u'Letter'}",A reader responds to an article about the environmental impacts of oil extraction in Canada’s tar sands....,https://www.nytimes.com/2010/05/27/opinion/lweb27canada.html,A reader responds to an article about the environmental impacts of oil extraction in Canada’s tar sands.
{u'main': u'ENVIRONMENT IS KEEPING CANADA AND U.S. AT ODDS'},Manitoba's concern over what is happening across the border has receded a bit after a recent meeting in Ottawa of Canadian and United States officials. The two sides agreed to name a joint committee of experts. They will review a long-proposed lan...,https://www.nytimes.com/1983/12/25/weekinreview/environment-is-keeping-canada-and-us-at-odds.html,"Manitoba's concern over what is happening across the border has receded a bit after a recent meeting in Ottawa of Canadian and United States officials. The two sides agreed to name a joint committee of experts. They will review a long-proposed land reclamation and irrigation project for which ground has been broken in North Dakota. The project for the diversion of the Garrison River has passionate adherents in North Dakota and equally passionate opponents in Canada. It is but one of several dozen environmental issues that straddle the remarkably open and porous frontier between the United States and Canada that stretches 3,987 miles from New Brunswick to Vancouver, plus the 1,538 miles separating Alaska from the Yukon and Northwest Territories. It is the longest unfortified border in the world. Enormous amounts of people, ideas, goods, money, fads, energy, water, animals and pollution shuttle back and forth with little bureaucratic interference. But precisely because the two countries and cultures are so integrated, events on one side of the border are likely to set off ripples or shock waves on the other. As in the case of the Manitoba- North Dakota controversy, the debate over acid rain or the unsuccessful attempts to obtain fishing treaties covering Atlantic and Pacific species, these issues often require arduous and time-consuming adjustments of clashing sovereign interests."
{u'main': u'World Briefing | Americas: Canada: Environment Minister Loses Portfolio'},"Prime Minister Stephen Harper shuffled his cabinet in anticipation of a possible election this year. The main move was the removal of Rona Ambrose, left, as environment minister after months of condemnation. Clean air and climate change are likely...",https://query.nytimes.com/gst/fullpage.html?res=9501E4DA1430F936A35752C0A9619C8B63,"Prime Minister Stephen Harper shuffled his cabinet in anticipation of a possible election this year. The main move was the removal of Rona Ambrose, left, as environment minister after months of condemnation. Clean air and climate change are likely to be major issues in the next national election, with the opposition Liberal Party now led by a former environment minister, Stéphane Dion. Ms. Ambrose was replaced by John Baird, who had been head of the Treasury Board. She is now intergovernmental affairs minister. CHRISTOPHER MASON"
"{u'main': u'Canada Announces Goals for Reducing Emissions', u'print_headline': u'Canada Announces Goals For Reducing Emissions'}",Canadian industries must cut the rate at which they produce gases linked to global warming by 18 percent over the next three years....,https://www.nytimes.com/2007/04/27/business/worldbusiness/27green.html,Canadian industries must cut the rate at which they produce gases linked to global warming by 18 percent over the next three years.
"{u'main': u""Vancouver Journal; Planet Earth's Preacher, With Canada His Pulpit""}","He recycles like mad to cut his family's garbage down to one bag a month, uses refillable fountain pens, cloth handkerchiefs and reusable chopsticks, and gets around on buses, bikes and skates.   David Suzuki is the first to concede the triviality...",https://www.nytimes.com/1994/12/28/world/vancouver-journal-planet-earth-s-preacher-with-canada-his-pulpit.html,"He recycles like mad to cut his family's garbage down to one bag a month, uses refillable fountain pens, cloth handkerchiefs and reusable chopsticks, and gets around on buses, bikes and skates. David Suzuki is the first to concede the triviality of such individual pursuits to conserve the planet's resources. But Mr. Suzuki, Canada's best-known advocate of environmental causes, says it is important to start somewhere to conserve a world threatened by unbridled economic growth -- and to live by one's beliefs."
{u'main': u'Canada Insists on Protecting Environment in the Far North; Canada Insists on Protecting Environment in the Far North'},"INUVIK, Northwest Territories, Canada For 10 days in March, seismic-survey work in the vicinity of Old Crow, in the northern Yukon, was halted because a federal forest management officer felt that the work was causing undue damage to the environme...",https://query.nytimes.com/gst/abstract.html?res=9E03EED81030E337A2575BC1A9629C946190D6CF,"INUVIK, Northwest Territories, Canada For 10 days in March, seismic-survey work in the vicinity of Old Crow, in the northern Yukon, was halted because a federal forest management officer felt that the work was causing undue damage to the environment."
"{u'main': u'Great Lakes Officials Seek Aid From U.S. and Canada', u'print_headline': u'Great Lakes Officials Seek Aid From U.S. and Canada'}","Regional government agencies around the Great Lakes say they need help to protect the lakes from invasive species, contaminated sediment and sewage overflows....",https://www.nytimes.com/2008/02/27/us/27lakes.html,"Regional government agencies around the Great Lakes say they need help to protect the lakes from invasive species, contaminated sediment and sewage overflows."
"{u'main': u'Canada: Reviews of Industrial Projects to Be Streamlined', u'print_headline': u'Canada: Reviews of Industrial Projects to Be Streamlined', u'content_kicker': u'World Briefing | Americas '}",Canada said Tuesday that it would streamline the way it performs environmental reviews on major industrial projects in a bid to speed the development of mines and pipelines....,https://www.nytimes.com/2012/04/18/world/americas/canada-reviews-of-industrial-projects-to-be-streamlined.html,Canada said Tuesday that it would streamline the way it performs environmental reviews on major industrial projects in a bid to speed the development of mines and pipelines.
{u'main': u'Canada Urges Cut In Sulfur Emission'},"Environment Minister John Roberts, citing a two-year acid rain study by United States and Canadian scientists, today asked for a 50 percent cut in sulfur emissions.   But American scientists involved in the study, which was released a year behind ...",https://www.nytimes.com/1983/02/22/science/canada-urges-cut-in-sulfur-emission.html,"Environment Minister John Roberts, citing a two-year acid rain study by United States and Canadian scientists, today asked for a 50 percent cut in sulfur emissions. But American scientists involved in the study, which was released a year behind schedule, said there was not enough evidence to set a target for limiting the sulfur fallout."
{u'main': u'Communes in Canada -- Government Lends Hand With Grants'},"VANCOUVER, British Columbia -- Urban and rural communes have been thriving in this West Coast province for several years. But this is the first summer that some have been subsidized by the Canadian Government....",https://query.nytimes.com/gst/abstract.html?res=9A05EEDF1038E23BBC4D52DFBF66838A669EDE,"VANCOUVER, British Columbia -- Urban and rural communes have been thriving in this West Coast province for several years. But this is the first summer that some have been subsidized by the Canadian Government."
"{u'main': u'Canada Plans Wide Tax Relief, Removing a Million From Rolls; CANADA PLANNING BROAD TAX RELIEF'}","OTTAWA, June 18--The Government submitted to Parliament today sweeping tax reform legislation that would remove one million persons from the tax rolls, cut taxes for 4.7 million and impose capital gains taxes in Canada for the first time....",https://query.nytimes.com/gst/abstract.html?res=9A02EFDE1238EF34BC4152DFB066838A669EDE,"OTTAWA, June 18--The Government submitted to Parliament today sweeping tax reform legislation that would remove one million persons from the tax rolls, cut taxes for 4.7 million and impose capital gains taxes in Canada for the first time."
"{u'seo': u'Government Agencies Plan  Huge  Goose Elimination', u'main': u'Agencies Plan to Reduce Canada Geese Population in New York State by Two-Thirds', u'print_headline': u'Agencies Plan to Reduce Canada Geese Population in New York State by Two-Thirds'}","A report explains that captured geese would be placed in turkey crates, euthanized with methods approved by the American Veterinary Medical Association, then buried....",https://www.nytimes.com/2010/07/24/nyregion/24geese.html,"A report explains that captured geese would be placed in turkey crates, euthanized with methods approved by the American Veterinary Medical Association, then buried."
{u'main': u'Canada Dry Starts Recycling Project For Its Packaging'},"The Canada Dry Corporation announced yesterday that it was beginning its Operation Ecology, which will call for the use of recycled materials in all its packaging and in business stationery....",https://query.nytimes.com/gst/abstract.html?res=9E06E0DE1E3DE634A25757C1A9659C946090D6CF,"The Canada Dry Corporation announced yesterday that it was beginning its Operation Ecology, which will call for the use of recycled materials in all its packaging and in business stationery."
"{u'main': u'Canada: Pipeline Break Spews Oil Onto Vancouver', u'kicker': u'World Briefing | Americas', u'print_headline': u'Canada: Pipeline Break Spews Oil Onto Vancouver', u'content_kicker': u'World Briefing | Americas'}","Environmentalists were assessing damage to land and seawater in suburban Vancouver as a cleanup of oil sprayed from a ruptured pipeline continued. An excavator working on a sewer line on Tuesday broke the pipeline, sending a plume of crude oil abo...",https://www.nytimes.com/2007/07/26/world/americas/26briefs-oil.html,"Environmentalists were assessing damage to land and seawater in suburban Vancouver as a cleanup of oil sprayed from a ruptured pipeline continued. An excavator working on a sewer line on Tuesday broke the pipeline, sending a plume of crude oil about 60 to 100 feet into the air until the system was shut down 25 minutes later. Eight homes in Burnaby were heavily coated by the oil and remained evacuated. Several oil-saturated streets remained closed. Storm sewers caused some oil to enter Burrard Inlet, although light winds and the rapid placement of containment barriers limited its spread. The Canadian Transportation Safety Board is investigating. The pipeline is owned by Kinder Morgan Energy Partners of Houston."
"{u'seo': u'Canada&#8217;s Oil, the World&#8217;s Carbon', u'main': u'Canada\u2019s Oil, the World\u2019s Carbon', u'kicker': u'Editorial', u'print_headline': u'Canada\u2019s Oil, the World\u2019s Carbon', u'content_kicker': u'Editorial'}","In assessing the Keystone XL pipeline, the Obama administration must ask an essential question: What is the pipeline’s likely effect on the climate?...",https://www.nytimes.com/2012/07/30/opinion/canadas-oil-the-worlds-carbon.html,"In assessing the Keystone XL pipeline, the Obama administration must ask an essential question: What is the pipeline’s likely effect on the climate?"
"{u'main': u'Scrapping 2 Costly Reactors, Canada Reopens Aging One', u'print_headline': u'Scrapping 2 Costly Reactors, Canada Reopens Aging One'}","The 51-year-old reactor had been temporarily closed by Canada’s nuclear regulator in November for safety reasons, but two troubled replacement units could not be completed....",https://www.nytimes.com/2008/05/17/business/worldbusiness/17nuke.html,"The 51-year-old reactor had been temporarily closed by Canada’s nuclear regulator in November for safety reasons, but two troubled replacement units could not be completed."
"{u'seo': u'Despite Risks, U.S. Relying More on Canada Oil Sands', u'main': u'Reliance on Oil Sands Grows Despite Environmental Risks', u'print_headline': u'Mired in Canada\u2019s Oil Sands'}","As Congress considers new limits on oil drilling off the American coast, pressure is increasing to rely more heavily on Canada’s oil sands for energy....",https://www.nytimes.com/2010/05/19/business/energy-environment/19sands.html,"As Congress considers new limits on oil drilling off the American coast, pressure is increasing to rely more heavily on Canada’s oil sands for energy."
{u'main': u'Canada Sets Goal to Cut Car Emissions'},Two top Canadian ministers said Wednesday that they had resolved to cut global-warming emissions of cars and trucks sold in Canada by 25 percent by the end of the decade....,https://www.nytimes.com/2004/11/18/business/18auto.html,"Two top Canadian ministers said Wednesday that they had resolved to cut global-warming emissions of cars and trucks sold in Canada by 25 percent by the end of the decade. The commitment means that the auto industry faces steep cuts in greenhouse gases in Canada as well as in California and the Northeastern United States, a geographic expanse that encompasses nearly one-third of the cars and trucks sold in North America."
"{u'main': u'Political Crisis Avoided in Canada; Economy, Energy, Environment Pressure on Carter Foreseen'}","OTTAWA, Nov. 7 By two votes Prime Minister Joe Clark staved off a defeat in the House of Commons last night that would have opened a political crisis and probably prevented a visit by President Carter Friday and Saturday....",https://query.nytimes.com/gst/abstract.html?res=9A04E4D91738E732A2575BC0A9679D946890D6CF,"OTTAWA, Nov. 7 By two votes Prime Minister Joe Clark staved off a defeat in the House of Commons last night that would have opened a political crisis and probably prevented a visit by President Carter Friday and Saturday."
"{u'seo': u'Canada Offers Energy Subsidy to Pulp and Paper Industry', u'main': u'Canada Offers Subsidy to Pulp and Paper Industry', u'print_headline': u'In Canada, New Program To Assist Paper Makers'}","Under the plan, similar to one in the United States, the government will pay companies to turn waste into energy for their plants....",https://www.nytimes.com/2009/06/18/business/global/18paper.html,"Under the plan, similar to one in the United States, the government will pay companies to turn waste into energy for their plants."
"{u'main': u""U.S. SHIP'S ARCTIC VOYAGE DRAWS HEAT IN CANADA""}",The planned voyage of a United States Coast Guard icebreaker through the Northwest Passage in August has set off ripples of complaints about threats to Canada's sovereignty and its environment.   The United States notified Canada in May that the h...,https://www.nytimes.com/1985/08/01/world/us-ship-s-arctic-voyage-draws-heat-in-canada.html,"The planned voyage of a United States Coast Guard icebreaker through the Northwest Passage in August has set off ripples of complaints about threats to Canada's sovereignty and its environment. The United States notified Canada in May that the heavy icebreaker Polar Sea would sail from Greenland to Alaska along the Arctic waterway that explorers once thought to be a way to Asia. Washington considers the Northwest Passage an international strait open to shipping. Ottawa says the route, which passes among islands claimed by Canada, lies within its territory."
{u'main': u'Canada and Automakers Agree to Emissions Reductions'},Canada and nearly all the world's major automakers reached an agreement under which the companies would voluntarily reduce the emissions of their vehicles....,https://www.nytimes.com/2005/04/06/automobiles/06auto.html,"The Canadian government and nearly all the world's major automakers reached an agreement Tuesday under which the companies would voluntarily reduce the greenhouse gas emissions of their vehicles. Under the agreement, the vehicle makers committed themselves to cutting a variety of emissions by 5.3 million metric tons by the end of 2010. The plan sets targets staggered over five years and requires regular reviews by a group of government and industry representatives."
"{u'seo': u'Syncrude Canada Fined for Duck Deaths', u'main': u'Canadian Oil Company Fined for Duck Deaths', u'print_headline': u'Canadian Oil Company Fined for Duck Deaths'}","The penalty being paid by Syncrude Canada, $2.92 million, was developed through negotiations under a system known as &#8220;creative sentencing.&#8221;...",https://www.nytimes.com/2010/10/23/business/energy-environment/23ducksands.html,"The penalty being paid by Syncrude Canada, $2.92 million, was developed through negotiations under a system known as &#8220;creative sentencing.&#8221;"
{u'main': u'Business Briefs; Big Board Revenues Off in Quarter Consumer Confidence Index Increases $7.4-Billion Set to Fight Pollution Canada Found Innocent of Dumping'},"Reflecting continuing low trading volume, the New York Stock Exchange reported yesterday that first quarter ""net revenues"" declined 43 per cent from the year-ago period. The net for the quarter was $541,000 on gross revenues of $18.7-million, whic...",https://query.nytimes.com/gst/abstract.html?res=9D02E7DF103FEF34BC4F52DFB366838F669EDE,"Reflecting continuing low trading volume, the New York Stock Exchange reported yesterday that first quarter ""net revenues"" declined 43 per cent from the year-ago period. The net for the quarter was $541,000 on gross revenues of $18.7-million, which compared with $948,000 on a gross of $19.8-milion last year."
"{u'seo': u'Gene-Altered Pig Project in Canada Is Halted', u'main': u'Move to Market Gene-Altered Pigs in Canada Is Halted', u'print_headline': u'Move to Market Gene-Altered Pigs in Canada Is Halted'}","A Canadian project aimed at creating a genetically engineered pig whose manure would be less harmful to the environment is being halted after failure to find a company willing to bring the animal to market, according to the lead researcher....",https://www.nytimes.com/2012/04/04/science/gene-altered-pig-project-in-canada-is-halted.html,"A Canadian project aimed at creating a genetically engineered pig whose manure would be less harmful to the environment is being halted after failure to find a company willing to bring the animal to market, according to the lead researcher."
{u'main': u'Carmakers in Canada to Cut Emissions'},"Major automakers have agreed to cut the emissions of greenhouse gases by the end of the decade, Canada's minister of natural resources said Wednesday....",https://www.nytimes.com/2005/03/24/business/worldbusiness/24emissions.html,"Major automakers have agreed to cut the emissions of greenhouse gases by the end of the decade, Canada's minister of natural resources said Wednesday. While offering little detail, the minister, John Efford, told Canada's House of Commons that a deal had been reached. News of the agreement was first reported by The Globe and Mail of Toronto."
{u'main': u'CANADA BLAMES ITSELF FOR HALF OF ITS ACID RAIN'},"A parliamentary subcommittee said today that half of the acid rain falling on Canada ''comes from domestic sources of air pollution.'' It recommended a number of actions within Canada to solve the problem.   Acid rain, which is precipitation made ...",https://www.nytimes.com/1981/10/09/world/canada-blames-itself-for-half-of-its-acid-rain.html,"A parliamentary subcommittee said today that half of the acid rain falling on Canada ''comes from domestic sources of air pollution.'' It recommended a number of actions within Canada to solve the problem. Acid rain, which is precipitation made more acidic than normal by emissions of sulfur and nitrogen oxides into the air, has become a major political irritant between the United States and Canada because of what is regarde d here as a lax attitude by the Federal and state governments a nd private industry in the United States."
{u'main': u'CANADA SEEKS ALLIES IN FIGHT ON ACID RAIN'},"Plastic Lake lay in stillness in this central Ontario region of heavy woods as a gentle shower fell from clouds that had picked up sulfuric pollutants from the smokestacks of the Ohio Valley.   Except for the drops bouncing on the clear surface, n...",https://www.nytimes.com/1982/10/19/world/canada-seeks-allies-in-fight-on-acid-rain.html,"Plastic Lake lay in stillness in this central Ontario region of heavy woods as a gentle shower fell from clouds that had picked up sulfuric pollutants from the smokestacks of the Ohio Valley. Except for the drops bouncing on the clear surface, nothing moved. There were no fish, no weeds, no crayfish. It was one of the thousands of dead or dying lakes of Canada."
"{u'main': u'Tides Canada Stands Up to Government Critics', u'kicker': u'Green'}","After Conservative politicians accused it of ""laundering"" and operating as a shill for American groups, Tides disclosed its finances and denounced what it called Glenn Beck-style attacks....",https://green.blogs.nytimes.com/2012/06/28/tides-canada-stands-up-to-government-critics/,
"{u'main': u'In Canada, Pipeline Remarks Stir Analysis', u'print_headline': u'In Canada, Pipeline Remarks Stir Analysis'}","President Obama, in Canada, says the Keystone XL pipeline would be built only if carbon pollution would not increase....",https://www.nytimes.com/2013/06/27/business/energy-environment/in-canada-pipeline-remarks-stir-analysis.html,"President Obama, in Canada, says the Keystone XL pipeline would be built only if carbon pollution would not increase."
"{u'main': u'Now, Canada Objects on Trade Pact'}",Canadian concerns have emerged as a sticking point for the first time in the negotiation of side agreements for the North American Free Trade Agreement.   Prime Minister Kim Campbell has rejected a compromise crafted by her own negotiators on labo...,https://www.nytimes.com/1993/08/13/business/now-canada-objects-on-trade-pact.html,"Canadian concerns have emerged as a sticking point for the first time in the negotiation of side agreements for the North American Free Trade Agreement. Prime Minister Kim Campbell has rejected a compromise crafted by her own negotiators on labor and environmental safeguards for the accord, apparently resisting giving import-blocking power to United States companies that could be used against Canada. Analysts also said she was taking the tough stance partly for domestic political reasons."
{u'main': u'OIL DRILLERS OFF CANADA BATTLE NATURE AND POLITICS'},"ST. JOHN'S, Newfoundland - A fuzzy dawn is breaking in the foggiest part of the North Atlantic, where four men cling to a basket dangling 160 feet above a choppy, cobalt-blue sea. By stomach-churning tugs, they are being hoisted to their jobs on t...",https://www.nytimes.com/1981/03/15/us/oil-drillers-off-canada-battle-nature-and-politics.html,"ST. JOHN'S, Newfoundland - A fuzzy dawn is breaking in the foggiest part of the North Atlantic, where four men cling to a basket dangling 160 feet above a choppy, cobalt-blue sea. By stomach-churning tugs, they are being hoisted to their jobs on the world's largest drilling rig, the 15,000-ton Ocean Ranger. The cargo boat that carried them 14 hours through a stormy night dances below them like an abandoned toy. The mist-shrouded rig, nicknamed the Ocean Danger, looms over them. Its derrick stands as tall as a 35-story building over the water, 14,400 horsepower of machinery pounds relentlessly and 81 crew members scurry about a surface area bigger than two football fields. ''The massiveness kind of terrifies you at first,'' William Aitkenhead, the Ranger's captain, noted later. That is indisputable. But the implications of the activity at the Hibernia K-18 drilling site on the Grand Banks 180 miles off the southeast coast of Newfoundland are considerably larger than the physical magnitude of the rig."
"{u'main': u'Justin Trudeau Approves Oil Pipeline Expansion in Canada', u'print_headline': u'Trudeau Approves Oil Pipeline Expansion in Canada'}","The Kinder Morgan Trans Mountain project would link the oil sands in Alberta to a tanker port in British Columbia, where there have been several protests against the plan....",https://www.nytimes.com/2016/11/29/world/canada/canada-trudeau-kinder-morgan-pipeline.html,"The Kinder Morgan Trans Mountain project would link the oil sands in Alberta to a tanker port in British Columbia, where there have been several protests against the plan."
"{u'main': u'Is Canada Tarring Itself?', u'kicker': u'Op-Ed Contributor', u'print_headline': u'Is Canada Tarring Itself?', u'content_kicker': u'Op-Ed Contributor'}",Oil development is changing the country’s political life....,https://www.nytimes.com/2014/03/31/opinion/is-canada-tarring-itself.html,Oil development is changing the country’s political life.
"{u'main': u""MORTON APPROVES ALASKA PIPELINE; COURT FIGHT SEEN; Secretary Cites 'National Interest' -- Opponents Fear Damage to Environment OIL IMPORT QUOTA RISES Appeals Tribunal Rules That Canada May Challenge Route Near Its Border MORTON APPROVES ALASKA PIPELINE""}","WASHINGTON, May 11 -Secretary of the Interior Rogers C. B. Morton approved today construction of the controversial trans-Alaska oil pipeline. He said the action was ""in the national interest"" to gain needed energy supplies....",https://query.nytimes.com/gst/abstract.html?res=9400E5D7103DEF34BC4A52DFB3668389669EDE,"WASHINGTON, May 11 -Secretary of the Interior Rogers C. B. Morton approved today construction of the controversial trans-Alaska oil pipeline. He said the action was ""in the national interest"" to gain needed energy supplies."
{u'main': u'U.S. and Canada Make Deal On Beer Amid Trade Talks'},"The United States and Canada settled a five-year-old trade dispute today that had threatened to result in sharply higher prices for imported Canadian beer.   Mickey Kantor, the United States trade representative, and Trade Minister Thomas Hockin o...",https://www.nytimes.com/1993/08/06/business/us-and-canada-make-deal-on-beer-amid-trade-talks.html,"The United States and Canada settled a five-year-old trade dispute today that had threatened to result in sharply higher prices for imported Canadian beer. Mickey Kantor, the United States trade representative, and Trade Minister Thomas Hockin of Canada struck the deal during a recess from their continuing negotiations on labor and environmental issues linked to the North American Free Trade Agreement. The talks, which also include Trade Minister Jaime Serra Puche of Mexico, are scheduled to continue on Friday."
"{u'main': u""Letters to the Editor; Resources and the Future: Our Choice To Pick a Vice President Canada, the U.S. and Oil In Defense of Kissinger America's Durable Mohegans Toward a Beef Tax Shades of Mayor O'Brien Unnecessary Spray Cans""}","To the Editor: The problem of ascertaining and dealing with what economists call social costs seems to become ever more pervasive. Without defining such costs in social science-ese, I shall give one example and then indicate what I feel is necessa...",https://query.nytimes.com/gst/abstract.html?res=9D0DE3D71F3DE13ABC4052DFB467838F669EDE,"To the Editor: The problem of ascertaining and dealing with what economists call social costs seems to become ever more pervasive. Without defining such costs in social science-ese, I shall give one example and then indicate what I feel is necessary to deal with the problem."
"{u'main': u""Corporation Affairs; Genesco's Deficit for Year To July 31 Was Its Largest I.B.M. Canada and Xerox Negotiating License Deal Court Lifts Restraint Of BOC Against Airco Alcoa Planning Expansion Of Tennessee Operations American Motors Cutting Duration of Warranties Maine Unit Plans Sale Of Idled Pulp Company Wildcat Strikes Hit Chessie System Contract Rescinded At Northeast Toyota Wheeling Steel Skips 2 Preferred Dividends Republic Steel Expansion Contract Awards Zenith Sues Eli Lilly Texaco North Sea Field""}",Fed Ct dissolves injunction obtained by FTC in '74 barring BOC Internatl from increasing its 34% interest in Airco; BOC chmn Sir Leslie Smith says action will have no immediate effect on BOC-Airco relationship since BOC has agreed not to acquire a...,https://query.nytimes.com/gst/abstract.html?res=9E01E5D6113CE036A05752C0A96F9C946690D6CF,
